Yorum,Duygu
"@samsung galaxy serisi telefonlar harika",1
"samsung smart tv ile her şey mümkün.",1
"Samsung buzdolapları da çok geniş ve kullanışlı",1
"samsung tabletleri çok hızlı ve kullanışlı.",1
"playstation oyun konsolu bir harika.",1
sony kulaklıklar ses kalitesi süper.,1
sony fotoğraf makinem var profesyonel kalitede.,1
"Sony bravia tv'ler mükemmel görüntü sunuyor.",1
sony hoparlörler bassları mükemmel veriyor.,1
dell laptoplar iş için birebir.,1
ekran kalitesi ve klavye kullanımı çok rahat.,1
"dell bilgisayrım bozuldu müşteri desteği harika, sorunları hemen çözüyorlar.",1
"pil ömrü uzun ve dayanıklı dell öneri.",1
"dell kullanıyprum oyun oynamak için de gayet ideal",1
tesla araçlar çok sessiz ve hızlı.,1
otonom sürüş deneyimledim telsa ile babamı artık durduramıyoruz,1
tesla aracım var şarj istasyonları çok yaygın.,1
TESLA iç tasarımı gerçekten futuristik,1
elektrikli araçların öncüsü kesinlikle tesla.,1
"Telefon gayet iyi 1 günde kargoyla yollandı orijinal ürün herhangi bir sıkıntısı yok. İthal ürün değil Türkiye garantilidir. Gönül rahatlığıyla alabilirsiniz. Telefon fiyat performans ürünü zaten. Çok fazla bir şey yazamam bir sıkıntı çıkmadı.",1
türkcell'in interneti harika ya hiç kesilmiyo valla süper.,1
Türkcell Müşteri hizmetleri çok hızlı dönüyor gerçekten 5 yıldız.,1
turkcel paketler çok uygun bence tam öğrenci dostu.,1
türkcell tv+ da çok güzel filmler var ya bayılıyorum.,1
her yerde çeken bi hat var mı dersen Türkcell derim.,1
twitch yayınlarını izlemek çok eğlenceli gerçekten.,1
"bu kadar samimi bi platform zor bulunur #twich.",1
"@twich.com yayıncılarla direkt iletişim kurmak müthiş.",1
twitch prime üyeliği baya avantajlı.,1
Instagram hikayeler kısmı çok eğlenceli.,1
Instagram keşfet kısmı bağımlılık yapıyor resmen.,1
youtube'da saatlerce video izleyebilirim.,1
YouTube öğretici videolar gerçekten işime yarıyor.,1
herkesin bi youtube kanalı olmalı bence.,1
youtube de abonelik sistemi çok iyi çalışıyor.,1
tiktok videoları çok komik ya bayılıyorum.,1
TikTok: tiktok influencerları takip etmek keyifli.,1
iphone'un kamerası gerçekten çok kaliteli.,1
macbook kullanmak iş hayatında büyük avantaj.,1
apple watch ile hayat daha kolay.,1
ipad ile not almak çok pratik.,1
apple ekosistemi mükemmel çalışıyor.,1
samsung'un ekranları çok canlı ve parlak.,1
Telefon beğendiğim bir telefondu zaten kayınçoma aldım. oda memnun gönderici firma da özenliydi.teşekkürler hayırlı işler,1
"yaklaşık 8 aydır kullanıyorum. gayet güzel kullanışlı. ilk defa Xiaomi aldım. eski telefonların genelde samsung idi. kıyaslarsak fiyat performans olarak kesinlikle Xiaomi ön planda artık benim için. tek dezavantajı şarj girişi ile kulaklık girişinin aynı olması :(",1
Harika kargo hızlı gönderim 👍,1
Güzel paketleme sorunsuz teslimat. Çok memnunum.,1
Ürün beklediğimiz gibi güzel özellikleri kullanımı vs. çok çok iyi. Teşekkürler.,1
Gayet güzel hızlı kargo herkese tavsiye ediyorum,1
gayet güzel ama apple kulananlar biraz  alışma süreci var,1
Ürünü 3 aydır sorunsuz kullanıyorum gayet başarılı. Sevk süreside gayet hızlıydı 15 gün içinde teslim edildi,1
Telefonu üç ay normal kullandım. Sonrasında hcu ile rootladım. Benim için gereksiz sisteme gömülü uygulamaları sildim. İşlemci ayarlarında birkaç ayar ile inanın şuan bu telefonu size anlatacak kelime bulamam. Adblock viper sound oyuna veya uygulama göre ince ayar daha ne olsun.,1
sorunsuz kullanıyorum güzel ve hızlı,1
bir yıl önce aldıgım bir telefon sınıfına ve parasına göre güzel bir telefon. Şarjından şikayet eden arkadaşlar hangi telefonla kıyasladıklarını söylerse daha acıklayıcı olur ben sarjından  memnunun. Kasanın egilmesinden şikayet edenler evet elinizle tutup egmeye çalısırsanız egiliyor fakat bunu telefon olarak kullanacagınızı düşünürseniz telefon olarak egilmiyor en azından 1 yıldır egilmedi  arabaya takoz yapacaksanız daha uygun cözümler var. şarj soketi usb den kullanıslı ters taktın düz taktın hikayesi yok her seferinde kabloyla savaşmıyorsunuz nasıl takarsan tak oluyıor. Garanti ve kargo konusu 11 ay üzerine bir arızam oldu telefonum acılmadı Trabzondan Yurtiçi kargoya verdim İstanbulda Huawei yetkili servisi Fixsmarta gitmesi tamiri tekrar elime ulaşması 7 gün kargo dahil herhangi bir ücret ödemedim ondanda memnunum,1
"herkes takmis kafayi hiz ve kemaraya.. xieomi, huwai ve apple iyi dediginiz telefonlarin radyasyon degerlerine hic baktinizmi? nerde....   para verip kendinizi ileriki yaşlarda oluscak hastalkklara zemin hazirlamayin... samsung en dusuk radyasyon degerlerine sahiptir... hayatta hersey mukemmel olmak zorinda degildir. telefon ozellikleri orta ayardaki bir kişi  icin gayet yeterli seviyede ozelliklere sahip...",1
bence  bu paraya bu telefon süper.samsug kardeşim markası yeter.başka markalarla bir kıyaslamayın. bataryasıyla.ekranı yeter.,1
3 dakika içinde bütün stokları bitirmiş hindistanda gayet başarılı olmuş bataryası 5000 mah ve hızlı şarj var ekranda güzel bana göre fiyatı biraz daha uygun olabilirdi ilerleyen zamanlarda alacam ,1
gercekden bu özellikleriyle alınacak en iyi cihaz fiyatı da hepsiburada kampanyasıyla çok uygun,1
Telefon gayet iyi 1 günde kargoyla yollandı orijinal ürün herhangi bir sıkıntısı yok. İthal ürün değil Türkiye garantilidir. Gönül rahatlığıyla alabilirsiniz. Telefon fiyat performans ürünü zaten. Çok fazla bir şey yazamam bir sıkıntı çıkmadı.,1
Güzel paketleme ve hızlı kargo.....,1
Çok da güzel bir telefon. Fiyat performans 1 seneyi geçti.,1
Telefon beğendiğim bir telefondu zaten kayınçoma aldım. oda memnun gönderici firma da özenliydi.teşekkürler hayırlı işler,1
Güzel paketleme ve hızlı kargo.....,1
Çok da güzel bir telefon. Fiyat performans 1 seneyi geçti.,1
ön siparişle aldım.siparisim belirtilen teslim tarihinden once elime ulasti ve 1 gundur kullaniyorum.gercekten çok şik ve kullanişli bir cihaz.sarji çok iyi.kamerasindan da mennun kaldik.kasa malzeme kalitesi biraz dusuk olsada  kilifla kullanilacagi icin cokta onemli degil.ekran parlakligi ve cozunurlugu harika.Pubg de yuksek kalite de oynarken kasma donma gibi bir problem yasamadik. kulaklik vasat icinden 32gb hafiza kartida cikti.fiyat ve performans bakimindan 250 tl hediye ceki ile alinabiecek bence en uygun cihaz.Teşekkürler Hepsiburada ve Samsung Türkiye.,1
GM 9 Pro alarak Kronik sorunlarla başınız ağrıması yerine Samsung M20 alın kafanız rahat etsin düşündüm ve almaya karar verdim şarj ve kamera konusunda üzmeyeceğini düşünüyorum ...,1
